,State,2017,2018,2019,2020,2021,Total Registered Guns,
8,Alabama,266359,264656,393348,631747,4934193,161641,
44,Alaska,44623,44421,43385,58996,724357,15824,
6,Arizona,214791,210833,212560,387296,7520103,179738,
22,Arkansas,131171,140120,124838,187051,3033946,79841,
1,California,819598,684886,662497,874175,39613493,344622,
18,Colorado,265396,283376,259183,375640,5893634,92435,
20,Connecticut,91616,90622,90272,118382,3552821,82400,
49,Delaware,27041,25771,25628,42535,990334,4852,
2,Florida,712315,671355,681457,1112903,21944577,343288,
5,Georgia,298994,309936,304060,520724,10830007,190050,
47,Hawaii,6422,7185,6611,10855,1406430,7859,
35,Idaho,101611,115685,119287,163707,1860123,49566,
10,Illinois,363127,649817,1162654,1811581,12569321,146487,
13,Indiana,458357,505427,818119,1114898,6805663,114019,
40,Iowa,85964,102146,100907,149379,3167974,28494,
34,Kansas,106829,96002,95196,145261,2917224,52634,
21,Kentucky,1281049,1385309,1162091,959173,4480713,81068,
12,Louisiana,183694,171413,160891,250573,4627002,116831,
45,Maine,53318,62655,51113,78998,1354522,15371,
15,Maryland,79964,77250,77680,163384,6065436,103109,
37,Massachusetts,104072,107761,110829,141795,6912239,37152,
29,Michigan,258674,249878,256913,576996,9992427,65742,
23,Minnesota,381418,337076,388943,557783,5706398,79307,
38,Mississippi,139022,139465,134451,211294,2966407,35494,
26,Missouri,292935,276871,283779,412163,6169038,72996,
42,Montana,68414,44331,65324,99472,1085004,22133,
41,Nebraska,39686,40217,37666,57690,1951996,22234,
24,Nevada,69218,68815,70828,121081,3185786,76888,
31,New Hampshire,72032,67456,63938,101653,1372203,64135,
33,New Jersey,54152,49169,48731,97134,8874520,57507,
17,New Mexico,80528,79995,81865,111376,2105005,97580,
25,New York,199663,189348,189770,277335,19299981,76207,
9,North Carolina,287192,286154,292762,491437,10701022,152238,
46,North Dakota,36971,35156,34060,49228,770026,13272,
7,Ohio,420214,400351,363942,568469,11714618,173405,
28,Oklahoma,184562,187412,203064,270885,3990443,71269,
32,Oregon,171948,183438,186719,278692,4289439,61383,
4,Pennsylvania,535576,521191,515677,784577,12804123,236377,
36,Rhode Island,12437,12766,12704,27739,1061509,37152,
14,South Carolina,221482,156658,187086,309001,5277830,105601,
43,South Dakota,54412,51151,48180,66498,896581,21130,
16,Tennessee,428518,387308,362128,573130,6944260,99159,
0,Texas,855287,886400,838787,1339362,29730311,588696,
27,Utah,150926,165089,469264,708162,3310774,72856,
48,Vermont,20084,22437,19786,31997,623251,5872,
3,Virginia,262497,243148,267664,444697,8603985,307822,
19,Washington,292158,319924,316943,421994,7796941,91835,
39,West Virginia,122968,136306,116294,153046,1767859,35264,
30,Wisconsin,293800,252506,248341,425801,5852490,64878,
11,Wyoming,30200,33925,34568,52637,581075,132806,
,,,,,,,,